model,id,event_id,episode_id,sid,window,condition,query_target_sid,candidate_only,target_identity,event_proximity,combined,event_proximity_probability,reference_admit
qwen3vl_8b,habit_cf_0033,004958_01,004958,S6759,early,factual,S6759,False,False,False,False,0.1533417227464273,False
qwen3vl_8b,habit_cf_0034,004958_01,004958,S6759,early,counterfactual,S7414,False,False,False,False,0.1533417227464273,False
qwen3vl_8b,habit_cf_0035,004958_01,004958,S6759,ready,factual,S6759,True,True,True,True,0.9322060714815534,True
qwen3vl_8b,habit_cf_0036,004958_01,004958,S6759,ready,counterfactual,S7414,True,False,True,False,0.9322060714815534,False
qwen3vl_8b,habit_cf_0037,004959_01,004959,S6759,early,factual,S6759,True,True,False,False,0.15710903436247226,False
qwen3vl_8b,habit_cf_0038,004959_01,004959,S6759,early,counterfactual,S7414,False,False,False,False,0.15710903436247226,False
qwen3vl_8b,habit_cf_0039,004959_01,004959,S6759,ready,factual,S6759,True,True,True,True,0.9415433412329893,True
qwen3vl_8b,habit_cf_0040,004959_01,004959,S6759,ready,counterfactual,S7414,True,False,True,False,0.9415433412329893,False
qwen3vl_8b,habit_cf_0041,000124_01,000124,S7025,early,factual,S7025,True,True,False,False,0.03906875802938428,False
qwen3vl_8b,habit_cf_0042,000124_01,000124,S7025,early,counterfactual,S6759,False,False,False,False,0.03906875802938428,False
qwen3vl_8b,habit_cf_0043,000124_01,000124,S7025,ready,factual,S7025,True,True,True,True,0.7391181806705732,True
qwen3vl_8b,habit_cf_0044,000124_01,000124,S7025,ready,counterfactual,S6759,False,False,False,False,0.7391181806705732,False
qwen3vl_8b,habit_cf_0045,000126_01,000126,S7025,early,factual,S7025,True,True,False,False,0.3138824767842424,False
qwen3vl_8b,habit_cf_0046,000126_01,000126,S7025,early,counterfactual,S6759,False,False,False,False,0.3138824767842424,False
qwen3vl_8b,habit_cf_0047,000126_01,000126,S7025,ready,factual,S7025,True,True,True,True,0.8190265844841018,True
qwen3vl_8b,habit_cf_0048,000126_01,000126,S7025,ready,counterfactual,S6759,False,False,False,False,0.8190265844841018,False
qwen3vl_8b,habit_cf_0049,000128_01,000128,S7025,early,factual,S7025,True,True,False,False,0.167905293545071,False
qwen3vl_8b,habit_cf_0050,000128_01,000128,S7025,early,counterfactual,S6759,False,False,False,False,0.167905293545071,False
qwen3vl_8b,habit_cf_0051,000128_01,000128,S7025,ready,factual,S7025,True,True,True,True,0.8126090763853152,True
qwen3vl_8b,habit_cf_0052,000128_01,000128,S7025,ready,counterfactual,S6759,False,False,False,False,0.8126090763853152,False
qwen3vl_8b,habit_cf_0053,000129_01,000129,S7025,early,factual,S7025,False,False,False,False,0.06589370068350783,False
qwen3vl_8b,habit_cf_0054,000129_01,000129,S7025,early,counterfactual,S6759,False,False,False,False,0.06589370068350783,False
qwen3vl_8b,habit_cf_0055,000129_01,000129,S7025,ready,factual,S7025,True,True,True,True,0.8144532328877675,True
qwen3vl_8b,habit_cf_0056,000129_01,000129,S7025,ready,counterfactual,S6759,False,False,False,False,0.8144532328877675,False
qwen3vl_8b,habit_cf_0057,000130_01,000130,S7025,early,factual,S7025,True,True,False,False,0.14259786536340488,False
qwen3vl_8b,habit_cf_0058,000130_01,000130,S7025,early,counterfactual,S6759,False,False,False,False,0.14259786536340488,False
qwen3vl_8b,habit_cf_0059,000130_01,000130,S7025,ready,factual,S7025,True,True,True,True,0.8117728476573336,True
qwen3vl_8b,habit_cf_0060,000130_01,000130,S7025,ready,counterfactual,S6759,False,False,False,False,0.8117728476573336,False
qwen3vl_8b,habit_cf_0061,000131_01,000131,S7025,early,factual,S7025,False,False,False,False,0.19783759657247613,False
qwen3vl_8b,habit_cf_0062,000131_01,000131,S7025,early,counterfactual,S6759,False,False,False,False,0.19783759657247613,False
qwen3vl_8b,habit_cf_0063,000131_01,000131,S7025,ready,factual,S7025,True,True,True,True,0.7901020094103496,True
qwen3vl_8b,habit_cf_0064,000131_01,000131,S7025,ready,counterfactual,S6759,False,False,False,False,0.7901020094103496,False
qwen3vl_8b,habit_cf_0065,000132_01,000132,S7025,early,factual,S7025,True,True,False,False,0.19048278194698187,False
qwen3vl_8b,habit_cf_0066,000132_01,000132,S7025,early,counterfactual,S6759,False,False,False,False,0.19048278194698187,False
qwen3vl_8b,habit_cf_0067,000132_01,000132,S7025,ready,factual,S7025,True,True,True,True,0.8781667797315407,True
qwen3vl_8b,habit_cf_0068,000132_01,000132,S7025,ready,counterfactual,S6759,False,False,False,False,0.8781667797315407,False
qwen3vl_8b,habit_cf_0069,000133_01,000133,S7025,early,factual,S7025,False,False,False,False,0.07572702811386726,False
qwen3vl_8b,habit_cf_0070,000133_01,000133,S7025,early,counterfactual,S6759,False,False,False,False,0.07572702811386726,False
qwen3vl_8b,habit_cf_0071,000133_01,000133,S7025,ready,factual,S7025,True,True,True,True,0.7684737584993587,True
qwen3vl_8b,habit_cf_0072,000133_01,000133,S7025,ready,counterfactual,S6759,False,False,False,False,0.7684737584993587,False
qwen3vl_8b,habit_cf_0073,000135_01,000135,S7025,early,factual,S7025,True,True,False,False,0.12293778248442891,False
qwen3vl_8b,habit_cf_0074,000135_01,000135,S7025,early,counterfactual,S6759,False,False,False,False,0.12293778248442891,False
qwen3vl_8b,habit_cf_0075,000135_01,000135,S7025,ready,factual,S7025,True,True,True,True,0.7248025267514352,True
qwen3vl_8b,habit_cf_0076,000135_01,000135,S7025,ready,counterfactual,S6759,False,False,False,False,0.7248025267514352,False
qwen3vl_8b,habit_cf_0077,000137_01,000137,S7025,early,factual,S7025,False,False,False,False,0.10578522902506014,False
qwen3vl_8b,habit_cf_0078,000137_01,000137,S7025,early,counterfactual,S6759,False,False,False,False,0.10578522902506014,False
qwen3vl_8b,habit_cf_0079,000137_01,000137,S7025,ready,factual,S7025,True,True,True,True,0.6759478065224412,True
qwen3vl_8b,habit_cf_0080,000137_01,000137,S7025,ready,counterfactual,S6759,False,False,False,False,0.6759478065224412,False
qwen3vl_8b,habit_cf_0081,002888_01,002888,S7414,early,factual,S7414,False,False,False,False,0.07117928918823074,False
qwen3vl_8b,habit_cf_0082,002888_01,002888,S7414,early,counterfactual,S8975,False,False,False,False,0.07117928918823074,False
qwen3vl_8b,habit_cf_0083,002888_01,002888,S7414,ready,factual,S7414,True,True,True,True,0.8850806330906826,True
qwen3vl_8b,habit_cf_0084,002888_01,002888,S7414,ready,counterfactual,S8975,False,False,False,False,0.8850806330906826,False
qwen3vl_8b,habit_cf_0085,002889_01,002889,S7414,early,factual,S7414,False,False,False,False,0.09293049839995662,False
qwen3vl_8b,habit_cf_0086,002889_01,002889,S7414,early,counterfactual,S8975,False,False,False,False,0.09293049839995662,False
qwen3vl_8b,habit_cf_0087,002889_01,002889,S7414,ready,factual,S7414,True,True,True,True,0.8769195361704208,True
qwen3vl_8b,habit_cf_0088,002889_01,002889,S7414,ready,counterfactual,S8975,False,False,False,False,0.8769195361704208,False
qwen3vl_8b,habit_cf_0089,002890_01,002890,S7414,early,factual,S7414,False,False,False,False,0.06571778796290739,False
qwen3vl_8b,habit_cf_0090,002890_01,002890,S7414,early,counterfactual,S8975,False,False,False,False,0.06571778796290739,False
qwen3vl_8b,habit_cf_0091,002890_01,002890,S7414,ready,factual,S7414,True,True,True,True,0.9338272611196587,True
qwen3vl_8b,habit_cf_0092,002890_01,002890,S7414,ready,counterfactual,S8975,False,False,False,False,0.9338272611196587,False
qwen3vl_8b,habit_cf_0093,002891_01,002891,S7414,early,factual,S7414,False,False,False,False,0.08839160031579293,False
qwen3vl_8b,habit_cf_0094,002891_01,002891,S7414,early,counterfactual,S8975,False,False,False,False,0.08839160031579293,False
qwen3vl_8b,habit_cf_0095,002891_01,002891,S7414,ready,factual,S7414,True,True,True,True,0.8697436915734554,True
qwen3vl_8b,habit_cf_0096,002891_01,002891,S7414,ready,counterfactual,S8975,False,False,False,False,0.8697436915734554,False
qwen3vl_8b,habit_cf_0097,002892_01,002892,S7414,early,factual,S7414,False,False,False,False,0.06858834909109414,False
qwen3vl_8b,habit_cf_0098,002892_01,002892,S7414,early,counterfactual,S8975,False,False,False,False,0.06858834909109414,False
qwen3vl_8b,habit_cf_0099,002892_01,002892,S7414,ready,factual,S7414,True,True,True,True,0.9158603303197418,True
qwen3vl_8b,habit_cf_0100,002892_01,002892,S7414,ready,counterfactual,S8975,False,False,False,False,0.9158603303197418,False
qwen3vl_8b,habit_cf_0101,002894_01,002894,S7414,early,factual,S7414,False,False,False,False,0.11632166499284465,False
qwen3vl_8b,habit_cf_0102,002894_01,002894,S7414,early,counterfactual,S8975,False,False,False,False,0.11632166499284465,False
qwen3vl_8b,habit_cf_0103,002894_01,002894,S7414,ready,factual,S7414,True,True,True,True,0.9439196781546667,True
qwen3vl_8b,habit_cf_0104,002894_01,002894,S7414,ready,counterfactual,S8975,False,False,False,False,0.9439196781546667,False
qwen3vl_8b,habit_cf_0105,002895_01,002895,S7414,early,factual,S7414,False,False,False,False,0.09998402488102902,False
qwen3vl_8b,habit_cf_0106,002895_01,002895,S7414,early,counterfactual,S8975,False,False,False,False,0.09998402488102902,False
qwen3vl_8b,habit_cf_0107,002895_01,002895,S7414,ready,factual,S7414,True,True,True,True,0.9469735732150207,True
qwen3vl_8b,habit_cf_0108,002895_01,002895,S7414,ready,counterfactual,S8975,False,False,False,False,0.9469735732150207,False
qwen3vl_8b,habit_cf_0109,002896_01,002896,S7414,early,factual,S7414,True,True,False,False,0.09198282586988146,False
qwen3vl_8b,habit_cf_0110,002896_01,002896,S7414,early,counterfactual,S8975,False,False,False,False,0.09198282586988146,False
qwen3vl_8b,habit_cf_0111,002896_01,002896,S7414,ready,factual,S7414,True,True,True,True,0.8218464134321105,True
qwen3vl_8b,habit_cf_0112,002896_01,002896,S7414,ready,counterfactual,S8975,False,False,False,False,0.8218464134321105,False
qwen3vl_8b,habit_cf_0113,002898_01,002898,S7414,early,factual,S7414,True,True,False,False,0.09067443574199707,False
qwen3vl_8b,habit_cf_0114,002898_01,002898,S7414,early,counterfactual,S8975,False,False,False,False,0.09067443574199707,False
qwen3vl_8b,habit_cf_0115,002898_01,002898,S7414,ready,factual,S7414,True,True,True,True,0.9099393990914546,True
qwen3vl_8b,habit_cf_0116,002898_01,002898,S7414,ready,counterfactual,S8975,False,False,False,False,0.9099393990914546,False
qwen3vl_8b,habit_cf_0117,002899_01,002899,S7414,early,factual,S7414,False,False,False,False,0.09935265519841559,False
qwen3vl_8b,habit_cf_0118,002899_01,002899,S7414,early,counterfactual,S8975,False,False,False,False,0.09935265519841559,False
qwen3vl_8b,habit_cf_0119,002899_01,002899,S7414,ready,factual,S7414,True,True,True,True,0.9297348387139566,True
qwen3vl_8b,habit_cf_0120,002899_01,002899,S7414,ready,counterfactual,S8975,False,False,False,False,0.9297348387139566,False
qwen3vl_8b,habit_cf_0121,008354_01,008354,S7788,early,factual,S7788,True,True,False,False,0.2756970854754759,False
qwen3vl_8b,habit_cf_0122,008354_01,008354,S7788,early,counterfactual,S8940,False,False,False,False,0.2756970854754759,False
qwen3vl_8b,habit_cf_0123,008354_01,008354,S7788,ready,factual,S7788,True,True,True,True,0.7106319191020816,True
qwen3vl_8b,habit_cf_0124,008354_01,008354,S7788,ready,counterfactual,S8940,False,False,False,False,0.7106319191020816,False
qwen3vl_8b,habit_cf_0125,008364_01,008364,S7788,early,factual,S7788,True,True,False,False,0.4337464916931842,False
qwen3vl_8b,habit_cf_0126,008364_01,008364,S7788,early,counterfactual,S8940,False,False,False,False,0.4337464916931842,False
qwen3vl_8b,habit_cf_0127,008364_01,008364,S7788,ready,factual,S7788,True,True,True,True,0.9093373452458308,True
qwen3vl_8b,habit_cf_0128,008364_01,008364,S7788,ready,counterfactual,S8940,False,False,False,False,0.9093373452458308,False
qwen3vl_8b,habit_cf_0129,008372_02,008372,S7788,early,factual,S7788,True,True,True,True,0.5698434889308098,False
qwen3vl_8b,habit_cf_0130,008372_02,008372,S7788,early,counterfactual,S8940,False,False,False,False,0.5698434889308098,False
qwen3vl_8b,habit_cf_0131,008372_02,008372,S7788,ready,factual,S7788,True,True,True,True,0.8293892339355269,True
qwen3vl_8b,habit_cf_0132,008372_02,008372,S7788,ready,counterfactual,S8940,True,False,True,False,0.8293892339355269,False
qwen3vl_8b,habit_cf_0133,008462_01,008462,S7788,early,factual,S7788,True,True,False,False,0.352746657404116,False
qwen3vl_8b,habit_cf_0134,008462_01,008462,S7788,early,counterfactual,S8940,False,False,False,False,0.352746657404116,False
qwen3vl_8b,habit_cf_0135,008462_01,008462,S7788,ready,factual,S7788,True,True,True,True,0.875546244241227,True
qwen3vl_8b,habit_cf_0136,008462_01,008462,S7788,ready,counterfactual,S8940,False,False,False,False,0.875546244241227,False
qwen3vl_8b,habit_cf_0137,008475_01,008475,S7788,early,factual,S7788,True,True,False,False,0.2941236671573512,False
qwen3vl_8b,habit_cf_0138,008475_01,008475,S7788,early,counterfactual,S8940,False,False,False,False,0.2941236671573512,False
qwen3vl_8b,habit_cf_0139,008475_01,008475,S7788,ready,factual,S7788,True,True,True,True,0.7734430440173119,True
qwen3vl_8b,habit_cf_0140,008475_01,008475,S7788,ready,counterfactual,S8940,False,False,False,False,0.7734430440173119,False
qwen3vl_8b,habit_cf_0141,008495_02,008495,S7788,early,factual,S7788,True,True,False,False,0.4352436003562298,False
qwen3vl_8b,habit_cf_0142,008495_02,008495,S7788,early,counterfactual,S8940,False,False,False,False,0.4352436003562298,False
qwen3vl_8b,habit_cf_0143,008495_02,008495,S7788,ready,factual,S7788,True,True,True,True,0.5999592899593257,True
qwen3vl_8b,habit_cf_0144,008495_02,008495,S7788,ready,counterfactual,S8940,False,False,False,False,0.5999592899593257,False
qwen3vl_8b,habit_cf_0145,008524_02,008524,S7788,early,factual,S7788,True,True,False,False,0.30223392581451386,False
qwen3vl_8b,habit_cf_0146,008524_02,008524,S7788,early,counterfactual,S8940,False,False,False,False,0.30223392581451386,False
qwen3vl_8b,habit_cf_0147,008524_02,008524,S7788,ready,factual,S7788,True,True,True,True,0.5059317025217817,True
qwen3vl_8b,habit_cf_0148,008524_02,008524,S7788,ready,counterfactual,S8940,False,False,False,False,0.5059317025217817,False
qwen3vl_8b,habit_cf_0149,009796_02,009796,S7788,early,factual,S7788,True,True,False,False,0.1418504191278284,False
qwen3vl_8b,habit_cf_0150,009796_02,009796,S7788,early,counterfactual,S8940,False,False,False,False,0.1418504191278284,False
qwen3vl_8b,habit_cf_0151,009796_02,009796,S7788,ready,factual,S7788,True,True,False,False,0.4523197288687617,True
qwen3vl_8b,habit_cf_0152,009796_02,009796,S7788,ready,counterfactual,S8940,False,False,False,False,0.4523197288687617,False
qwen3vl_8b,habit_cf_0153,009797_02,009797,S7788,early,factual,S7788,True,True,False,False,0.12301382169682357,False
qwen3vl_8b,habit_cf_0154,009797_02,009797,S7788,early,counterfactual,S8940,False,False,False,False,0.12301382169682357,False
qwen3vl_8b,habit_cf_0155,009797_02,009797,S7788,ready,factual,S7788,True,True,False,False,0.17972383020721805,True
qwen3vl_8b,habit_cf_0156,009797_02,009797,S7788,ready,counterfactual,S8940,False,False,False,False,0.17972383020721805,False
qwen3vl_8b,habit_cf_0157,009801_02,009801,S7788,early,factual,S7788,True,True,False,False,0.1370770066018925,False
qwen3vl_8b,habit_cf_0158,009801_02,009801,S7788,early,counterfactual,S8940,False,False,False,False,0.1370770066018925,False
qwen3vl_8b,habit_cf_0159,009801_02,009801,S7788,ready,factual,S7788,False,False,False,False,0.09278854646302195,True
qwen3vl_8b,habit_cf_0160,009801_02,009801,S7788,ready,counterfactual,S8940,False,False,False,False,0.09278854646302195,False
qwen3vl_8b,habit_cf_0161,007309_01,007309,S8940,early,factual,S8940,False,False,False,False,0.15362660860230165,False
qwen3vl_8b,habit_cf_0162,007309_01,007309,S8940,early,counterfactual,S7025,False,False,False,False,0.15362660860230165,False
qwen3vl_8b,habit_cf_0163,007309_01,007309,S8940,ready,factual,S8940,True,True,True,True,0.8802933259424847,True
qwen3vl_8b,habit_cf_0164,007309_01,007309,S8940,ready,counterfactual,S7025,True,False,True,False,0.8802933259424847,False
qwen3vl_8b,habit_cf_0165,007310_01,007310,S8940,early,factual,S8940,False,False,False,False,0.09064752451156366,False
qwen3vl_8b,habit_cf_0166,007310_01,007310,S8940,early,counterfactual,S7025,False,False,False,False,0.09064752451156366,False
qwen3vl_8b,habit_cf_0167,007310_01,007310,S8940,ready,factual,S8940,True,True,True,True,0.8393579383379276,True
qwen3vl_8b,habit_cf_0168,007310_01,007310,S8940,ready,counterfactual,S7025,True,False,True,False,0.8393579383379276,False
qwen3vl_8b,habit_cf_0169,007312_01,007312,S8940,early,factual,S8940,False,False,False,False,0.08678174114717235,False
qwen3vl_8b,habit_cf_0170,007312_01,007312,S8940,early,counterfactual,S7025,False,False,False,False,0.08678174114717235,False
qwen3vl_8b,habit_cf_0171,007312_01,007312,S8940,ready,factual,S8940,True,True,True,True,0.8848110689785276,True
qwen3vl_8b,habit_cf_0172,007312_01,007312,S8940,ready,counterfactual,S7025,True,False,True,False,0.8848110689785276,False
qwen3vl_8b,habit_cf_0173,007313_01,007313,S8940,early,factual,S8940,False,False,False,False,0.09920401601832542,False
qwen3vl_8b,habit_cf_0174,007313_01,007313,S8940,early,counterfactual,S7025,False,False,False,False,0.09920401601832542,False
qwen3vl_8b,habit_cf_0175,007313_01,007313,S8940,ready,factual,S8940,True,True,True,True,0.9073147454776027,True
qwen3vl_8b,habit_cf_0176,007313_01,007313,S8940,ready,counterfactual,S7025,True,False,True,False,0.9073147454776027,False
qwen3vl_8b,habit_cf_0177,007314_01,007314,S8940,early,factual,S8940,False,False,False,False,0.09078680373478579,False
qwen3vl_8b,habit_cf_0178,007314_01,007314,S8940,early,counterfactual,S7025,False,False,False,False,0.09078680373478579,False
qwen3vl_8b,habit_cf_0179,007314_01,007314,S8940,ready,factual,S8940,True,True,True,True,0.8876257132372228,True
qwen3vl_8b,habit_cf_0180,007314_01,007314,S8940,ready,counterfactual,S7025,True,False,True,False,0.8876257132372228,False
qwen3vl_8b,habit_cf_0181,007315_01,007315,S8940,early,factual,S8940,False,False,False,False,0.1384753344730794,False
qwen3vl_8b,habit_cf_0182,007315_01,007315,S8940,early,counterfactual,S7025,False,False,False,False,0.1384753344730794,False
qwen3vl_8b,habit_cf_0183,007315_01,007315,S8940,ready,factual,S8940,True,True,True,True,0.836361134028381,True
qwen3vl_8b,habit_cf_0184,007315_01,007315,S8940,ready,counterfactual,S7025,True,False,True,False,0.836361134028381,False
qwen3vl_8b,habit_cf_0185,007316_01,007316,S8940,early,factual,S8940,False,False,False,False,0.07805624052736453,False
qwen3vl_8b,habit_cf_0186,007316_01,007316,S8940,early,counterfactual,S7025,False,False,False,False,0.07805624052736453,False
qwen3vl_8b,habit_cf_0187,007316_01,007316,S8940,ready,factual,S8940,True,True,True,True,0.9328541876769552,True
qwen3vl_8b,habit_cf_0188,007316_01,007316,S8940,ready,counterfactual,S7025,True,False,True,False,0.9328541876769552,False
qwen3vl_8b,habit_cf_0189,007317_01,007317,S8940,early,factual,S8940,False,False,False,False,0.03390499846130472,False
qwen3vl_8b,habit_cf_0190,007317_01,007317,S8940,early,counterfactual,S7025,False,False,False,False,0.03390499846130472,False
qwen3vl_8b,habit_cf_0191,007317_01,007317,S8940,ready,factual,S8940,True,True,True,True,0.8892940608877898,True
qwen3vl_8b,habit_cf_0192,007317_01,007317,S8940,ready,counterfactual,S7025,True,False,True,False,0.8892940608877898,False
qwen3vl_8b,habit_cf_0193,007321_01,007321,S8940,early,factual,S8940,False,False,False,False,0.08685742760766907,False
qwen3vl_8b,habit_cf_0194,007321_01,007321,S8940,early,counterfactual,S7025,False,False,False,False,0.08685742760766907,False
qwen3vl_8b,habit_cf_0195,007321_01,007321,S8940,ready,factual,S8940,True,True,True,True,0.9612387835801528,True
qwen3vl_8b,habit_cf_0196,007321_01,007321,S8940,ready,counterfactual,S7025,True,False,True,False,0.9612387835801528,False
qwen3vl_8b,habit_cf_0197,007322_01,007322,S8940,early,factual,S8940,False,False,False,False,0.0840677091742321,False
qwen3vl_8b,habit_cf_0198,007322_01,007322,S8940,early,counterfactual,S7025,False,False,False,False,0.0840677091742321,False
qwen3vl_8b,habit_cf_0199,007322_01,007322,S8940,ready,factual,S8940,True,True,True,True,0.9468591375438491,True
qwen3vl_8b,habit_cf_0200,007322_01,007322,S8940,ready,counterfactual,S7025,True,False,True,False,0.9468591375438491,False
qwen3vl_8b,habit_cf_0201,005687_01,005687,S8975,early,factual,S8975,True,True,False,False,0.13526361494986008,False
qwen3vl_8b,habit_cf_0202,005687_01,005687,S8975,early,counterfactual,S7788,False,False,False,False,0.13526361494986008,False
qwen3vl_8b,habit_cf_0203,005687_01,005687,S8975,ready,factual,S8975,True,True,True,True,0.8921289323394731,True
qwen3vl_8b,habit_cf_0204,005687_01,005687,S8975,ready,counterfactual,S7788,False,False,False,False,0.8921289323394731,False
qwen3vl_8b,habit_cf_0205,005688_01,005688,S8975,early,factual,S8975,False,False,False,False,0.17343695786203922,False
qwen3vl_8b,habit_cf_0206,005688_01,005688,S8975,early,counterfactual,S7788,False,False,False,False,0.17343695786203922,False
qwen3vl_8b,habit_cf_0207,005688_01,005688,S8975,ready,factual,S8975,False,False,False,False,0.8274731719688633,True
qwen3vl_8b,habit_cf_0208,005688_01,005688,S8975,ready,counterfactual,S7788,False,False,False,False,0.8274731719688633,False
qwen3vl_8b,habit_cf_0209,005691_01,005691,S8975,early,factual,S8975,False,False,False,False,0.2173794409155415,False
qwen3vl_8b,habit_cf_0210,005691_01,005691,S8975,early,counterfactual,S7788,False,False,False,False,0.2173794409155415,False
qwen3vl_8b,habit_cf_0211,005691_01,005691,S8975,ready,factual,S8975,True,True,True,True,0.9632364023524762,True
qwen3vl_8b,habit_cf_0212,005691_01,005691,S8975,ready,counterfactual,S7788,False,False,False,False,0.9632364023524762,False
qwen3vl_8b,habit_cf_0213,005692_01,005692,S8975,early,factual,S8975,True,True,False,False,0.07463346840987095,False
qwen3vl_8b,habit_cf_0214,005692_01,005692,S8975,early,counterfactual,S7788,False,False,False,False,0.07463346840987095,False
qwen3vl_8b,habit_cf_0215,005692_01,005692,S8975,ready,factual,S8975,True,True,True,True,0.9685934670971063,True
qwen3vl_8b,habit_cf_0216,005692_01,005692,S8975,ready,counterfactual,S7788,False,False,False,False,0.9685934670971063,False
qwen3vl_8b,habit_cf_0217,005693_01,005693,S8975,early,factual,S8975,False,False,False,False,0.1601314203164515,False
qwen3vl_8b,habit_cf_0218,005693_01,005693,S8975,early,counterfactual,S7788,False,False,False,False,0.1601314203164515,False
qwen3vl_8b,habit_cf_0219,005693_01,005693,S8975,ready,factual,S8975,True,True,True,True,0.9330952305113103,True
qwen3vl_8b,habit_cf_0220,005693_01,005693,S8975,ready,counterfactual,S7788,False,False,False,False,0.9330952305113103,False
qwen3vl_8b,habit_cf_0221,005694_01,005694,S8975,early,factual,S8975,True,True,False,False,0.1376208536925431,False
qwen3vl_8b,habit_cf_0222,005694_01,005694,S8975,early,counterfactual,S7788,False,False,False,False,0.1376208536925431,False
qwen3vl_8b,habit_cf_0223,005694_01,005694,S8975,ready,factual,S8975,True,True,True,True,0.9597224076017676,True
qwen3vl_8b,habit_cf_0224,005694_01,005694,S8975,ready,counterfactual,S7788,False,False,False,False,0.9597224076017676,False
qwen3vl_8b,habit_cf_0225,005695_01,005695,S8975,early,factual,S8975,True,True,False,False,0.07763728156449755,False
qwen3vl_8b,habit_cf_0226,005695_01,005695,S8975,early,counterfactual,S7788,False,False,False,False,0.07763728156449755,False
qwen3vl_8b,habit_cf_0227,005695_01,005695,S8975,ready,factual,S8975,True,True,True,True,0.939338348591294,True
