model,id,source_id,event_id,episode_id,sid,window,condition,target_sid,target_object,expected_target_match,image,target_match,target_match_score,release_readiness,readiness_score
qwen3vl_8b,habit_cf_0020,habit_test_01538,004953_01,004953,S6759,ready,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01538.jpg,matched,0.975,not_ready,0.04999999999999999
qwen3vl_8b,habit_cf_0021,habit_test_01539,004954_01,004954,S6759,early,factual,S6759,Power Cable,matched,images/test_image_01539.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0022,habit_test_01539,004954_01,004954,S6759,early,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01539.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0023,habit_test_01540,004954_01,004954,S6759,ready,factual,S6759,Power Cable,matched,images/test_image_01540.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0024,habit_test_01540,004954_01,004954,S6759,ready,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01540.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0025,habit_test_01541,004956_01,004956,S6759,early,factual,S6759,Power Cable,matched,images/test_image_01541.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0026,habit_test_01541,004956_01,004956,S6759,early,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01541.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0027,habit_test_01542,004956_01,004956,S6759,ready,factual,S6759,Power Cable,matched,images/test_image_01542.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0028,habit_test_01542,004956_01,004956,S6759,ready,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01542.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0029,habit_test_01543,004957_01,004957,S6759,early,factual,S6759,Power Cable,matched,images/test_image_01543.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0030,habit_test_01543,004957_01,004957,S6759,early,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01543.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0031,habit_test_01544,004957_01,004957,S6759,ready,factual,S6759,Power Cable,matched,images/test_image_01544.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0032,habit_test_01544,004957_01,004957,S6759,ready,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01544.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0033,habit_test_01545,004958_01,004958,S6759,early,factual,S6759,Power Cable,matched,images/test_image_01545.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0034,habit_test_01545,004958_01,004958,S6759,early,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01545.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0035,habit_test_01546,004958_01,004958,S6759,ready,factual,S6759,Power Cable,matched,images/test_image_01546.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0036,habit_test_01546,004958_01,004958,S6759,ready,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01546.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0037,habit_test_01547,004959_01,004959,S6759,early,factual,S6759,Power Cable,matched,images/test_image_01547.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0038,habit_test_01547,004959_01,004959,S6759,early,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01547.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0039,habit_test_01548,004959_01,004959,S6759,ready,factual,S6759,Power Cable,matched,images/test_image_01548.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0040,habit_test_01548,004959_01,004959,S6759,ready,counterfactual,S7414,Paper to-go box,mismatched,images/test_image_01548.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0041,habit_test_00001,000124_01,000124,S7025,early,factual,S7025,Organizing box,matched,images/test_image_00001.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0042,habit_test_00001,000124_01,000124,S7025,early,counterfactual,S6759,Power Cable,mismatched,images/test_image_00001.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0043,habit_test_00002,000124_01,000124,S7025,ready,factual,S7025,Organizing box,matched,images/test_image_00002.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0044,habit_test_00002,000124_01,000124,S7025,ready,counterfactual,S6759,Power Cable,mismatched,images/test_image_00002.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0045,habit_test_00005,000126_01,000126,S7025,early,factual,S7025,Organizing box,matched,images/test_image_00005.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0046,habit_test_00005,000126_01,000126,S7025,early,counterfactual,S6759,Power Cable,mismatched,images/test_image_00005.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0047,habit_test_00006,000126_01,000126,S7025,ready,factual,S7025,Organizing box,matched,images/test_image_00006.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0048,habit_test_00006,000126_01,000126,S7025,ready,counterfactual,S6759,Power Cable,mismatched,images/test_image_00006.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0049,habit_test_00009,000128_01,000128,S7025,early,factual,S7025,Organizing box,matched,images/test_image_00009.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0050,habit_test_00009,000128_01,000128,S7025,early,counterfactual,S6759,Power Cable,mismatched,images/test_image_00009.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0051,habit_test_00010,000128_01,000128,S7025,ready,factual,S7025,Organizing box,matched,images/test_image_00010.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0052,habit_test_00010,000128_01,000128,S7025,ready,counterfactual,S6759,Power Cable,mismatched,images/test_image_00010.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0053,habit_test_00013,000129_01,000129,S7025,early,factual,S7025,Organizing box,matched,images/test_image_00013.jpg,matched,0.975,not_ready,0.04999999999999999
qwen3vl_8b,habit_cf_0054,habit_test_00013,000129_01,000129,S7025,early,counterfactual,S6759,Power Cable,mismatched,images/test_image_00013.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0055,habit_test_00014,000129_01,000129,S7025,ready,factual,S7025,Organizing box,matched,images/test_image_00014.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0056,habit_test_00014,000129_01,000129,S7025,ready,counterfactual,S6759,Power Cable,mismatched,images/test_image_00014.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0057,habit_test_00017,000130_01,000130,S7025,early,factual,S7025,Organizing box,matched,images/test_image_00017.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0058,habit_test_00017,000130_01,000130,S7025,early,counterfactual,S6759,Power Cable,mismatched,images/test_image_00017.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0059,habit_test_00018,000130_01,000130,S7025,ready,factual,S7025,Organizing box,matched,images/test_image_00018.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0060,habit_test_00018,000130_01,000130,S7025,ready,counterfactual,S6759,Power Cable,mismatched,images/test_image_00018.jpg,mismatched,0.010000000000000009,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0061,habit_test_00021,000131_01,000131,S7025,early,factual,S7025,Organizing box,matched,images/test_image_00021.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0062,habit_test_00021,000131_01,000131,S7025,early,counterfactual,S6759,Power Cable,mismatched,images/test_image_00021.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0063,habit_test_00022,000131_01,000131,S7025,ready,factual,S7025,Organizing box,matched,images/test_image_00022.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0064,habit_test_00022,000131_01,000131,S7025,ready,counterfactual,S6759,Power Cable,mismatched,images/test_image_00022.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0065,habit_test_00025,000132_01,000132,S7025,early,factual,S7025,Organizing box,matched,images/test_image_00025.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0066,habit_test_00025,000132_01,000132,S7025,early,counterfactual,S6759,Power Cable,mismatched,images/test_image_00025.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0067,habit_test_00026,000132_01,000132,S7025,ready,factual,S7025,Organizing box,matched,images/test_image_00026.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0068,habit_test_00026,000132_01,000132,S7025,ready,counterfactual,S6759,Power Cable,mismatched,images/test_image_00026.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0069,habit_test_00029,000133_01,000133,S7025,early,factual,S7025,Organizing box,matched,images/test_image_00029.jpg,matched,0.975,not_ready,0.04999999999999999
qwen3vl_8b,habit_cf_0070,habit_test_00029,000133_01,000133,S7025,early,counterfactual,S6759,Power Cable,mismatched,images/test_image_00029.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0071,habit_test_00030,000133_01,000133,S7025,ready,factual,S7025,Organizing box,matched,images/test_image_00030.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0072,habit_test_00030,000133_01,000133,S7025,ready,counterfactual,S6759,Power Cable,mismatched,images/test_image_00030.jpg,mismatched,0.010000000000000009,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0073,habit_test_00033,000135_01,000135,S7025,early,factual,S7025,Organizing box,matched,images/test_image_00033.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0074,habit_test_00033,000135_01,000135,S7025,early,counterfactual,S6759,Power Cable,mismatched,images/test_image_00033.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0075,habit_test_00034,000135_01,000135,S7025,ready,factual,S7025,Organizing box,matched,images/test_image_00034.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0076,habit_test_00034,000135_01,000135,S7025,ready,counterfactual,S6759,Power Cable,mismatched,images/test_image_00034.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0077,habit_test_00037,000137_01,000137,S7025,early,factual,S7025,Organizing box,matched,images/test_image_00037.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0078,habit_test_00037,000137_01,000137,S7025,early,counterfactual,S6759,Power Cable,mismatched,images/test_image_00037.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0079,habit_test_00038,000137_01,000137,S7025,ready,factual,S7025,Organizing box,matched,images/test_image_00038.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0080,habit_test_00038,000137_01,000137,S7025,ready,counterfactual,S6759,Power Cable,mismatched,images/test_image_00038.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0081,habit_test_00469,002888_01,002888,S7414,early,factual,S7414,Paper to-go box,matched,images/test_image_00469.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0082,habit_test_00469,002888_01,002888,S7414,early,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00469.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0083,habit_test_00470,002888_01,002888,S7414,ready,factual,S7414,Paper to-go box,matched,images/test_image_00470.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0084,habit_test_00470,002888_01,002888,S7414,ready,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00470.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0085,habit_test_00473,002889_01,002889,S7414,early,factual,S7414,Paper to-go box,matched,images/test_image_00473.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0086,habit_test_00473,002889_01,002889,S7414,early,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00473.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0087,habit_test_00474,002889_01,002889,S7414,ready,factual,S7414,Paper to-go box,matched,images/test_image_00474.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0088,habit_test_00474,002889_01,002889,S7414,ready,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00474.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0089,habit_test_00477,002890_01,002890,S7414,early,factual,S7414,Paper to-go box,matched,images/test_image_00477.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0090,habit_test_00477,002890_01,002890,S7414,early,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00477.jpg,mismatched,0.010000000000000009,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0091,habit_test_00478,002890_01,002890,S7414,ready,factual,S7414,Paper to-go box,matched,images/test_image_00478.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0092,habit_test_00478,002890_01,002890,S7414,ready,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00478.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0093,habit_test_00481,002891_01,002891,S7414,early,factual,S7414,Paper to-go box,matched,images/test_image_00481.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0094,habit_test_00481,002891_01,002891,S7414,early,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00481.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0095,habit_test_00482,002891_01,002891,S7414,ready,factual,S7414,Paper to-go box,matched,images/test_image_00482.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0096,habit_test_00482,002891_01,002891,S7414,ready,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00482.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0097,habit_test_00485,002892_01,002892,S7414,early,factual,S7414,Paper to-go box,matched,images/test_image_00485.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0098,habit_test_00485,002892_01,002892,S7414,early,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00485.jpg,mismatched,0.010000000000000009,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0099,habit_test_00486,002892_01,002892,S7414,ready,factual,S7414,Paper to-go box,matched,images/test_image_00486.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0100,habit_test_00486,002892_01,002892,S7414,ready,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00486.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0101,habit_test_00489,002894_01,002894,S7414,early,factual,S7414,Paper to-go box,matched,images/test_image_00489.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0102,habit_test_00489,002894_01,002894,S7414,early,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00489.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0103,habit_test_00490,002894_01,002894,S7414,ready,factual,S7414,Paper to-go box,matched,images/test_image_00490.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0104,habit_test_00490,002894_01,002894,S7414,ready,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00490.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0105,habit_test_00493,002895_01,002895,S7414,early,factual,S7414,Paper to-go box,matched,images/test_image_00493.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0106,habit_test_00493,002895_01,002895,S7414,early,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00493.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0107,habit_test_00494,002895_01,002895,S7414,ready,factual,S7414,Paper to-go box,matched,images/test_image_00494.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0108,habit_test_00494,002895_01,002895,S7414,ready,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00494.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0109,habit_test_00497,002896_01,002896,S7414,early,factual,S7414,Paper to-go box,matched,images/test_image_00497.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0110,habit_test_00497,002896_01,002896,S7414,early,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00497.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0111,habit_test_00498,002896_01,002896,S7414,ready,factual,S7414,Paper to-go box,matched,images/test_image_00498.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0112,habit_test_00498,002896_01,002896,S7414,ready,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00498.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0113,habit_test_00501,002898_01,002898,S7414,early,factual,S7414,Paper to-go box,matched,images/test_image_00501.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0114,habit_test_00501,002898_01,002898,S7414,early,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00501.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0115,habit_test_00502,002898_01,002898,S7414,ready,factual,S7414,Paper to-go box,matched,images/test_image_00502.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0116,habit_test_00502,002898_01,002898,S7414,ready,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00502.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0117,habit_test_00505,002899_01,002899,S7414,early,factual,S7414,Paper to-go box,matched,images/test_image_00505.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0118,habit_test_00505,002899_01,002899,S7414,early,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00505.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0119,habit_test_00506,002899_01,002899,S7414,ready,factual,S7414,Paper to-go box,matched,images/test_image_00506.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0120,habit_test_00506,002899_01,002899,S7414,ready,counterfactual,S8975,100 cm Hotel Towel,mismatched,images/test_image_00506.jpg,mismatched,0.010000000000000009,not_ready,0.010000000000000009
qwen3vl_8b,habit_cf_0121,habit_test_02013,008354_01,008354,S7788,early,factual,S7788,iced cup,matched,images/test_image_02013.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0122,habit_test_02013,008354_01,008354,S7788,early,counterfactual,S8940,Airtight Container lid,mismatched,images/test_image_02013.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0123,habit_test_02014,008354_01,008354,S7788,ready,factual,S7788,iced cup,matched,images/test_image_02014.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0124,habit_test_02014,008354_01,008354,S7788,ready,counterfactual,S8940,Airtight Container lid,mismatched,images/test_image_02014.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0125,habit_test_02015,008364_01,008364,S7788,early,factual,S7788,iced cup,matched,images/test_image_02015.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0126,habit_test_02015,008364_01,008364,S7788,early,counterfactual,S8940,Airtight Container lid,mismatched,images/test_image_02015.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0127,habit_test_02016,008364_01,008364,S7788,ready,factual,S7788,iced cup,matched,images/test_image_02016.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0128,habit_test_02016,008364_01,008364,S7788,ready,counterfactual,S8940,Airtight Container lid,mismatched,images/test_image_02016.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0129,habit_test_02019,008372_02,008372,S7788,early,factual,S7788,iced cup,matched,images/test_image_02019.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0130,habit_test_02019,008372_02,008372,S7788,early,counterfactual,S8940,Airtight Container lid,mismatched,images/test_image_02019.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0131,habit_test_02020,008372_02,008372,S7788,ready,factual,S7788,iced cup,matched,images/test_image_02020.jpg,matched,0.99,ready,0.975
qwen3vl_8b,habit_cf_0132,habit_test_02020,008372_02,008372,S7788,ready,counterfactual,S8940,Airtight Container lid,mismatched,images/test_image_02020.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0133,habit_test_02021,008462_01,008462,S7788,early,factual,S7788,iced cup,matched,images/test_image_02021.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0134,habit_test_02021,008462_01,008462,S7788,early,counterfactual,S8940,Airtight Container lid,mismatched,images/test_image_02021.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0135,habit_test_02022,008462_01,008462,S7788,ready,factual,S7788,iced cup,matched,images/test_image_02022.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0136,habit_test_02022,008462_01,008462,S7788,ready,counterfactual,S8940,Airtight Container lid,mismatched,images/test_image_02022.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0137,habit_test_02023,008475_01,008475,S7788,early,factual,S7788,iced cup,matched,images/test_image_02023.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0138,habit_test_02023,008475_01,008475,S7788,early,counterfactual,S8940,Airtight Container lid,mismatched,images/test_image_02023.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0139,habit_test_02024,008475_01,008475,S7788,ready,factual,S7788,iced cup,matched,images/test_image_02024.jpg,matched,0.975,ready,0.95
qwen3vl_8b,habit_cf_0140,habit_test_02024,008475_01,008475,S7788,ready,counterfactual,S8940,Airtight Container lid,mismatched,images/test_image_02024.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0141,habit_test_02025,008495_02,008495,S7788,early,factual,S7788,iced cup,matched,images/test_image_02025.jpg,matched,0.975,ready,0.975
qwen3vl_8b,habit_cf_0142,habit_test_02025,008495_02,008495,S7788,early,counterfactual,S8940,Airtight Container lid,mismatched,images/test_image_02025.jpg,mismatched,0.025000000000000022,not_ready,0.025000000000000022
qwen3vl_8b,habit_cf_0143,habit_test_02026,008495_02,008495,S7788,ready,factual,S7788,iced cup,matched,images/test_image_02026.jpg,matched,0.99,ready,0.975
